Representative,Party,State Full,state,Vote,district,statedistrict,pvi,year,Full Name,last_name,party
Joyce,Republican,Ohio,OH,Yea,15,OH-15,6.0,2024.0,David P. Joyce,Joyce,Republican
Joyce,Republican,Pennsylvania,PA,Yea,14,PA-14,18.0,2024.0,John Joyce,Joyce,Republican
Kamlager-Dove,Democratic,California,CA,Nay,37,CA-37,-37.0,2024.0,Sydney Kamlager-Dove,Kamlager-Dove,Democrat
Kaptur,Democratic,Ohio,OH,Yea,10,OH-10,4.0,2024.0,Marcy Kaptur,Kaptur,Democrat
Kean,Republican,New Jersey,NJ,Yea,8,NJ-8,-22.0,2024.0,"Thomas H. Kean, Jr.",Kean,Republican
Keating,Democratic,Massachusetts,MA,Nay,9,MA-9,-6.0,2024.0,William R. Keating,Keating,Democrat
Kelly,Democratic,Illinois,IL,Nay,2,IL-2,-19.0,2024.0,Robin L. Kelly,Kelly,Democrat
Kelly,Republican,Mississippi,MS,Yea,2,MS-2,-11.0,2024.0,Trent Kelly,Kelly,Republican
Kelly,Republican,Pennsylvania,PA,Yea,17,PA-17,0.0,2024.0,Mike Kelly,Kelly,Republican
Kennedy,Republican,Utah,UT,Yea,3,UT-3,13.0,2024.0,Mike Kennedy,Kennedy,Republican
Khanna,Democratic,California,CA,Nay,17,CA-17,-23.0,2024.0,Ro Khanna,Khanna,Democrat
Kiggans,Republican,Virginia,VA,Yea,2,VA-2,2.0,2024.0,Jennifer A. Kiggans,Kiggans,Republican
Kiley,Republican,California,CA,Yea,3,CA-3,4.0,2024.0,Kevin Kiley,Kiley,Republican
Kim,Republican,California,CA,Yea,40,CA-40,2.0,2024.0,Young Kim,Kim,Republican
Knott,Republican,North Carolina,NC,Yea,14,NC-14,-6.0,2024.0,Brad Knott,Knott,Republican
Krishnamoorthi,Democratic,Illinois,IL,Nay,8,IL-8,-6.0,2024.0,Raja Krishnamoorthi,Krishnamoorthi,Democrat
Kustoff,Republican,Tennessee,TN,Yea,8,TN-8,21.0,2024.0,David Kustoff,Kustoff,Republican
LaHood,Republican,Illinois,IL,Yea,16,IL-16,13.0,2024.0,Darin LaHood,LaHood,Republican
LaLota,Republican,New York,NY,Yea,2,NY-2,3.0,2024.0,Nick LaLota,LaLota,Republican
LaMalfa,Republican,California,CA,Yea,1,CA-1,12.0,2024.0,Doug LaMalfa,LaMalfa,Republican
Landsman,Democratic,Ohio,OH,Yea,2,OH-2,25.0,2024.0,Greg Landsman,Landsman,Democrat
Langworthy,Republican,New York,NY,Yea,24,NY-24,11.0,2024.0,Nicholas A. Langworthy,Langworthy,Republican
Larsen,Democratic,Washington,WA,Nay,2,WA-2,-9.0,2024.0,Rick Larsen,Larsen,Democrat
Larson,Democratic,Connecticut,CT,Nay,1,CT-1,-12.0,2024.0,John B. Larson,Larson,Democrat
Latimer,Democratic,New York,NY,Nay,17,NY-17,-3.0,2024.0,George Latimer,Latimer,Democrat
Latta,Republican,Ohio,OH,Yea,6,OH-6,16.0,2024.0,Robert E. Latta,Latta,Republican
Lawler,Republican,New York,NY,Yea,18,NY-18,-1.0,2024.0,Michael Lawler,Lawler,Republican
Lee,Republican,Florida,FL,Yea,15,FL-15,4.0,2024.0,Laurel M. Lee,Lee,Republican
Lee,Democratic,Nevada,NV,Yea,4,NV-4,-3.0,2024.0,Susie Lee,Lee,Democrat
Lee,Democratic,Pennsylvania,PA,Nay,13,PA-13,25.0,2024.0,Summer L. Lee,Lee,Democrat
Letlow,Republican,Louisiana,LA,Yea,5,LA-5,17.0,2024.0,Julia Letlow,Letlow,Republican
Levin,Democratic,California,CA,Yea,49,CA-49,-3.0,2024.0,Mike Levin,Levin,Democrat
Liccardo,Democratic,California,CA,Nay,16,CA-16,-26.0,2024.0,Sam T. Liccardo,Liccardo,Democrat
Lieu,Democratic,California,CA,Nay,36,CA-36,-21.0,2024.0,Ted Lieu,Lieu,Democrat
Lofgren,Democratic,California,CA,Nay,18,CA-18,-21.0,2024.0,Zoe Lofgren,Lofgren,Democrat
Loudermilk,Republican,Georgia,GA,Yea,11,GA-11,11.0,2024.0,Barry Loudermilk,Loudermilk,Republican
Lucas,Republican,Oklahoma,OK,Yea,4,OK-4,19.0,2024.0,Frank D. Lucas,Lucas,Republican
Luna,Republican,Florida,FL,Yea,13,FL-13,6.0,2024.0,Anna Paulina Luna,Luna,Republican
Luttrell,Republican,Texas,TX,Yea,8,TX-8,16.0,2024.0,Morgan Luttrell,Luttrell,Republican
Lynch,Democratic,Massachusetts,MA,Yea,8,MA-8,-15.0,2024.0,Stephen F. Lynch,Lynch,Democrat
Mace,Republican,South Carolina,SC,Yea,2,SC-2,8.0,2024.0,Nancy Mace,Mace,Republican
