Apprehension AOR,weeks_since_inauguration,arrests
Seattle,-4,21
Seattle,-3,7
Seattle,-2,13
Seattle,-1,18
Seattle,0,75
Seattle,1,90
Seattle,2,49
Seattle,3,34
Seattle,4,42
Seattle,5,64
Seattle,6,34
Seattle,7,34
Seattle,8,39
Seattle,9,42
Seattle,10,45
Seattle,11,24
Seattle,12,36
Seattle,13,36
Seattle,14,35
Seattle,15,30
Seattle,16,41
Seattle,17,91
Seattle,18,61
Seattle,19,168
Seattle,20,132
Seattle,21,67
Seattle,22,68
Seattle,23,51
Seattle,24,68
Seattle,25,77
Seattle,26,89
Seattle,27,131
Seattle,28,89
Seattle,29,114
Seattle,30,101
Seattle,31,65
Seattle,32,102
Seattle,33,106
Seattle,34,123
Seattle,35,87
Seattle,36,119
Seattle,37,135
Seattle,38,91
St. Paul,-15,56
St. Paul,-14,41
St. Paul,-13,45
St. Paul,-12,48
St. Paul,-11,51
St. Paul,-10,33
St. Paul,-9,38
St. Paul,-8,49
St. Paul,-7,28
St. Paul,-6,37
St. Paul,-5,43
St. Paul,-4,43
St. Paul,-3,28
St. Paul,-2,27
St. Paul,-1,32
St. Paul,0,154
St. Paul,1,131
St. Paul,2,115
St. Paul,3,94
St. Paul,4,91
St. Paul,5,131
St. Paul,6,90
St. Paul,7,92
St. Paul,8,73
St. Paul,9,87
St. Paul,10,94
St. Paul,11,84
St. Paul,12,94
St. Paul,13,96
St. Paul,14,114
St. Paul,15,97
St. Paul,16,124
St. Paul,17,141
St. Paul,18,201
St. Paul,19,211
St. Paul,20,194
St. Paul,21,144
St. Paul,22,135
St. Paul,23,98
St. Paul,24,127
St. Paul,25,138
St. Paul,26,135
St. Paul,27,130
St. Paul,28,183
St. Paul,29,125
St. Paul,30,117
St. Paul,31,154
St. Paul,32,167
St. Paul,33,161
St. Paul,34,137
St. Paul,35,143
St. Paul,36,163
St. Paul,37,135
St. Paul,38,66
Washington,-15,40
Washington,-14,42
Washington,-13,42
Washington,-12,58
Washington,-11,43
Washington,-10,42
Washington,-9,58
Washington,-8,56
Washington,-7,27
Washington,-6,38
Washington,-5,59
Washington,-4,58
Washington,-3,30
Washington,-2,25
Washington,-1,43
Washington,0,123
Washington,1,158
Washington,2,272
Washington,3,227
Washington,4,181
Washington,5,188
Washington,6,196
Washington,7,204
Washington,8,168
Washington,9,166
Washington,10,122
Washington,11,161
Washington,12,137
Washington,13,139
Washington,14,158
Washington,15,158
Washington,16,132
Washington,17,176
Washington,18,183
Washington,19,267
Washington,20,223
Washington,21,200
Washington,22,241
Washington,23,183
Washington,24,220
Washington,25,196
Washington,26,179
Washington,27,209
Washington,28,220
Washington,29,289
Washington,30,427
Washington,31,396
Washington,32,336
Washington,33,398
Washington,34,301
Washington,35,302
Washington,36,342
Washington,37,380
Washington,38,167
